머리,가슴,다리,손,발,방어력,힘,민첩,지능,의지,크리티컬 저항,스태미나,세트보너스 방어력,세트보너스 힘
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5465,736,291,65,198,74,0,375,150
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,노블레스 부츠,5313,739,290,67,198,76,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5301,728,294,66,201,75,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5341,733,282,56,192,73,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5351,717,297,66,204,75,5,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5765,732,291,233,202,72,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,블랙펄 부츠,5394,738,289,67,247,77,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,노블레스 부츠,5435,818,288,69,247,79,0,412,167
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,헤레몬 부츠,5233,732,292,68,250,78,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5273,737,280,58,241,76,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5283,721,295,68,253,78,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5697,736,289,235,251,75,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5405,729,295,66,239,77,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,노블레스 부츠,5256,734,294,68,239,79,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5440,796,298,67,242,78,0,418,165
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5284,728,286,57,233,76,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5294,712,301,67,245,78,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5708,727,295,234,243,75,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5445,732,282,56,231,73,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5296,737,281,58,231,75,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5284,726,285,57,234,74,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5459,791,273,47,225,72,0,357,152
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5334,715,288,57,237,74,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5748,730,282,224,235,71,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5356,717,297,66,241,75,5,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5207,722,296,68,241,77,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5195,711,300,67,244,76,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5235,716,288,57,235,74,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5436,775,303,67,247,76,10,413,167
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5659,715,297,234,245,73,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,블랙펄 부츠,5656,728,298,234,254,73,0,297,120
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,노블레스 부츠,5507,733,297,236,254,75,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,헤레몬 부츠,5495,722,301,235,257,74,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5535,727,289,225,248,72,0,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5545,711,304,235,260,74,5,222,92
블랙펄 헬름,블랙펄 메일,블랙펄 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6069,766,298,402,258,71,0,332,132
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5341,741,292,67,205,75,0,297,120
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,노블레스 부츠,5382,821,291,69,205,77,0,412,167
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5180,735,295,68,208,76,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5220,740,283,58,199,74,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5230,724,298,68,211,76,5,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5644,739,292,235,209,73,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,블랙펄 부츠,5463,820,290,69,254,78,0,412,167
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,노블레스 부츠,5394,857,289,71,254,80,0,417,171
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,헤레몬 부츠,5357,818,293,70,257,79,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5397,823,281,60,248,77,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5407,807,296,70,260,79,5,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5821,822,290,237,258,76,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5284,736,296,68,246,78,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,노블레스 부츠,5380,820,295,70,246,80,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5374,807,299,69,249,79,0,398,141
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5218,739,287,59,240,77,0,202,68
